"ANO","COORDENADA_X","COORDENADA_Y","ID_COMPRAVENTA","OBJECTID","point"
"2,012","833,421.22","1,183,012.99","1,373","111","POINT (-75.5825710281016 6.249062506635099)"
"2,012","837,939.0461","1,182,997.9026","3,059","110","POINT (-75.54175540485843 6.248925898761828)"
"2,012","834,130.51","1,182,931.31","2,226","109","POINT (-75.57616303708524 6.248324256786821)"
"2,012","833,436.52","1,182,912.74","1,326","108","POINT (-75.58243277233517 6.2481562040181)"
"2,012","834,130.23","1,182,912.15","2,241","107","POINT (-75.57616556299163 6.248151041305858)"
"2,012","837,941.73","1,182,902.1","3,056","106","POINT (-75.54173119564027 6.248059797058698)"
"2,012","834,372.28","1,182,900.28","2,218","105","POINT (-75.57397880013073 6.248043773120491)"
"2,012","838,175.34","1,182,895.48","3,063","104","POINT (-75.53962068766633 6.247999852309295)"
"2,012","833,467.4358","1,182,890.9959","1,379","103","POINT (-75.58215346216738 6.247959636322557)"
"2,012","837,096.36","1,182,869.21","3,058","102","POINT (-75.54936855962515 6.24776273582615)"
"2,012","833,469.32","1,182,869.08","1,381","101","POINT (-75.58213643319066 6.247761506817971)"
"2,012","834,349.8","1,182,868.64","2,246","100","POINT (-75.57418188691413 6.247757729075677)"
"2,012","833,469.44","1,182,867.08","1,380","99","POINT (-75.58213534847918 6.247743425911144)"
"2,012","834,361.2","1,182,847.99","2,247","98","POINT (-75.57407889230444 6.247571045150835)"
"2,012","829,323.42","1,182,827.38","3,432","97","POINT (-75.6195918193809 6.247381965562719)"
"2,012","833,969.2","1,182,820.99","2,225","96","POINT (-75.57762034218544 6.247326878858521)"
"2,012","828,921.81","1,182,789.03","5,049","95","POINT (-75.62322005530599 6.247034874890499)"
"2,012","834,355.08","1,182,783.57","2,215","94","POINT (-75.57413417215793 6.246988657034501)"
"2,012","834,418.2","1,182,774.99","2,212","93","POINT (-75.57356392485553 6.246911099476877)"
"2,012","834,346.52","1,182,761.15","2,214","92","POINT (-75.57421150231589 6.24678596831088)"
"2,012","834,357.03","1,182,710.28","2,217","91","POINT (-75.57411654363625 6.246326081213637)"
"2,012","834,368.99","1,182,705.85","2,216","90","POINT (-75.57400849265967 6.246286033805294)"
"2,012","834,379.7322","1,182,687.4755","2,213","89","POINT (-75.57391144151516 6.246119921337083)"
"2,012","829,073.55","1,182,660.53","3,431","88","POINT (-75.62184906251633 6.245873324108236)"
"2,012","837,451.94","1,182,618.34","3,064","87","POINT (-75.54615621344918 6.245494648585636)"
"2,012","836,419.2","1,182,475.77","3,068","86","POINT (-75.55548630947472 6.244205997308573)"
"2,012","835,203.51","1,182,473.93","2,253","85","POINT (-75.56646917903988 6.244189444203739)"
"2,012","835,209.4781","1,182,415.8099","2,255","84","POINT (-75.5664152601017 6.243664011276405)"
"2,012","836,508.29","1,182,400.44","3,062","83","POINT (-75.55468145969711 6.243524963666101)"
"2,012","835,456.25","1,182,391.35","4,130","82","POINT (-75.56418585913737 6.243442884004016)"
"2,012","835,028.5236","1,182,330.278","2,267","81","POINT (-75.56805004528263 6.242890755336593)"
"2,012","836,645.24","1,182,321.39","3,067","80","POINT (-75.55344423376438 6.242810289044631)"
"2,012","835,140.18","1,182,314.99","2,254","79","POINT (-75.56704131336085 6.242752549696347)"
"2,012","834,944.1567","1,182,292.764","4,547","78","POINT (-75.5688122340655 6.242551605983345)"
"2,012","834,966.78","1,182,298.96","2,260","77","POINT (-75.56860785014041 6.242607622223235)"
"2,012","834,815.45","1,182,291.75","2,193","76","POINT (-75.56997500118642 6.242542429015147)"
"2,012","837,613.47","1,182,287.44","3,057","75","POINT (-75.54469701910001 6.242503102871622)"
"2,012","834,411.46","1,182,173.15","2,188","74","POINT (-75.5736247259485 6.241470181325998)"
"2,012","835,119.12","1,182,165.32","2,252","73","POINT (-75.56723156851022 6.241399461570967)"
"2,012","837,751.12","1,182,099.85","3,061","72","POINT (-75.54345352501556 6.240807151846807)"
"2,012","835,994.0563","1,182,088.7221","4,542","71","POINT (-75.55932720861537 6.240706956387238)"
"2,012","834,342.68","1,182,021.44","2,720","70","POINT (-75.57424607535954 6.240098640795664)"
"2,012","835,906.1479","1,182,016.545","3,054","69","POINT (-75.56012139731087 6.240054449168234)"
